Title,Salary,Company,Experience,Employment Type,Is_Hot,Link
Менеджер з продажу (вхідні заявки),10000–30000грн,Свої люди,,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4955955/
Junior Creative Specialist,,BetterMe,,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5034082/
Менеджер по роботі з клієнтами,27000–60000грн,"Сліщенко Ю.О., ФОП", от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5014510/
Фахівець з клієнтської підтримки зі знанням англійської та німецької мов,,SelectSpecs, от 2 лет,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/3288166/
Менеджер відділу контролю якості,8000–15000грн,"Сліщенко Ю.О., ФОП", от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5033835/
Менеджер з продажу (вхідні заявки),18000–27000грн,Bozz Life,,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5019509/
"Producer (Ableton, Logic, Fl studio)",20000–50000грн,Topmusicarts.com,,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4597285/
Customer Care Expert (TrusTech),,SocialTech,,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5030741/
"Керівник з pозвитку партнерських програм (гемблінг), Affiliate Manager",200000–350000грн,Play Meta, от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5033621/
Customer Support Representative,16500–24000грн,WOW24-7, от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4799466/
Викладач англійської мови,15000–30000грн,Englishdom,,"Полнаязанятость,неполнаязанятость",HOT,https://www.work.ua/ru/jobs/4657833/
Менеджер краудфандингових проєктів,,Моє Місто, от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5004730/
"Менеджер з продажу (Канада, гаряча база)",25000–55000грн,"Лейченко В.Ю., ФОП", от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4957605/
